X,Rodada,Scouts,status,status_id,media,pontos,apelido,preco,partida_data,jogos,variacao,id,clube,posicao
15,4,FS=3;PE=2;RB=1;FC=6;CA=2;FD=1,Provável,7,-1.7,-0.6,Wesley,0.81,31/05/2015,2,0.02,71121,goiás,Atacante
16,4,FS=1;PE=2;CA=1;DD=2;GS=6,Provável,7,-2.7,-6,Paulo Victor,0.81,31/05/2015,3,-1.98,68873,flamengo,Goleiro
17,4,,Nulo,6,0,0,Robert,0.81,31/05/2015,1,-0.19,73641,goiás,Atacante
18,4,FC=1,Nulo,6,-0.5,-0.5,Bruno Edgar,0.81,31/05/2015,1,-0.19,89924,cruzeiro,Meia
19,4,FS=1;PE=4;FC=3;CV=1;FF=1,Provável,7,-3.25,-0.7,Tiago Alves,0.81,30/05/2015,2,-0.93,51495,ponte preta,Zagueiro
20,4,FC=1,Nulo,6,-0.5,0,Thiago Maia,0.79,31/05/2015,1,0,89637,santos,Meia
1,4,PE=1;CA=1,Contundido,5,-2.3,0,Lucas Mugni,0.79,31/05/2015,1,0,81121,flamengo,Meia
2,4,PE=2;FC=2;CV=1,Nulo,6,-6.6,0,Gustavo Henrique,0.79,31/05/2015,1,0,78248,santos,Zagueiro
3,4,PE=4;FC=4;CA=1;FD=1,Contundido,5,-2.1,0,Eltinho,0.79,30/05/2015,2,0,42474,avaí,Lateral
4,4,FS=1;PE=1;FC=2,Nulo,6,-0.8,0,Danilo Pires,0.79,31/05/2015,1,0,87291,atlético-mg,Meia
5,4,FS=1;PE=3;RB=1;FC=1;CA=1,Nulo,6,-1.2,0,Silva,0.79,31/05/2015,1,0,91917,internacional,Meia
6,4,FS=2;PE=2;FC=1;CA=1,Nulo,6,-2.1,0,Pedro Botelho,0.79,31/05/2015,1,0,51779,atlético-mg,Lateral
1,5,FS=6;PE=8;G=3;I=1;RB=3;FC=4;CA=1;GS=1;FF=1;FD=2,Provável,7,6.48,0.5,Diego Souza,31.39,04/06/2015,4,-1.2,68911,sport,Meia
2,5,FS=2;PE=18;A=1;FT=1;G=3;I=2;RB=7;FC=3;CA=2;FF=5;FD=7,Provável,7,11,14.9,Renato Cajá,30.25,03/06/2015,4,3.42,51319,ponte preta,Meia
3,5,SG=2;FS=5;PE=8;A=1;G=1;RB=7;FC=4;FF=1;FD=3,Provável,7,9.18,22.3,Zé Roberto,30.22,04/06/2015,4,6.07,36612,palmeiras,Lateral
4,5,FS=3;PE=14;A=2;G=1;I=1;RB=11;FC=5;FF=2;FD=2,Provável,7,11.47,9.9,Luan,29.35,03/06/2015,3,1.43,63219,atlético-mg,Atacante
5,5,FS=4;PE=24;A=1;G=2;I=3;RB=4;FC=3;CA=1;FF=4;FD=4,Nulo,6,6.1,7.4,Robinho,28.72,03/06/2015,4,1.03,38246,santos,Atacante
6,5,FS=15;PE=17;A=2;FT=1;I=1;RB=3;FC=7;FF=1;FD=3,Provável,7,5.17,0.8,Luan,27.95,03/06/2015,4,-1.54,86759,grêmio,Atacante
7,5,FS=9;PE=5;G=3;FC=8;FF=3;FD=3,Provável,7,7.03,16.2,Fred,27.67,04/06/2015,4,4.07,38162,fluminense,Atacante
8,5,SG=2;PE=4;DD=9;GS=2,Provável,7,7.95,11,Rogério Ceni,27.18,03/06/2015,4,1.6,38055,são paulo,Goleiro
9,5,,Contundido,5,0,0,D'Alessandro,27,04/06/2015,0,0,62023,internacional,Meia
10,5,FS=8;PE=12;G=2;I=9;RB=5;FC=7;CA=2;FF=3;FD=3,Provável,7,4.5,1,Everton,24.01,03/06/2015,4,-0.38,50301,flamengo,Meia
11,5,FS=7;PE=5;I=1;RB=2;FC=6;FF=2;FD=1,Nulo,6,2.15,0,Paolo Guerrero,23.49,03/06/2015,2,0,75295,flamengo,Atacante
12,5,SG=3;PE=4;DD=9;GS=2,Provável,7,9.2,8,Cássio,23.36,03/06/2015,4,0.23,42234,corinthians,Goleiro
13,5,SG=3;FS=2;PE=2;DD=10;GS=1,Provável,7,10.85,7.2,Renan,23.27,04/06/2015,4,-0.55,37899,goiás,Goleiro
14,5,FS=2;PE=9;A=1;FT=1;I=1;RB=2;FC=4;FF=4;FD=5,Provável,7,5.17,8.6,Lucas Pratto,22.79,03/06/2015,3,1.26,73649,atlético-mg,Atacante
15,5,SG=2;FS=6;PE=3;CA=1;DD=7;GS=3,Provável,7,6.27,1.6,Weverton,22.77,03/06/2015,4,-1.53,71631,atlético-pr,Goleiro
16,5,SG=1;FS=8;PE=8;A=3;I=1;RB=6;FF=1;FD=1,Provável,7,8.25,3.8,Rodinei,21.87,03/06/2015,4,0.42,73992,ponte preta,Lateral
17,5,FS=3;PE=2;RB=1;FC=1;CA=1;FF=3,Provável,7,2.2,2.2,Leandro Damião,21.83,03/06/2015,1,-4.17,68953,cruzeiro,Atacante
18,5,FS=7;PE=11;FT=1;I=1;RB=10;FC=6;CA=1;FF=2;FD=1,Provável,7,4.4,1.3,Edson,21.73,04/06/2015,4,-0.72,80370,fluminense,Meia
19,5,FS=4;PE=7;G=1;I=3;RB=3;FC=4;FF=3;FD=4,Provável,7,3.9,3.4,Rafhael Lucas,20.8,04/06/2015,4,-0.1,82456,coritiba,Atacante
20,5,SG=1;FS=2;PE=1;G=2;RB=4;FC=3;FD=1,Provável,7,9.33,8.4,Jemerson,20.35,03/06/2015,3,1.61,84263,atlético-mg,Zagueiro
1,5,SG=1;A=1;RB=1,Nulo,6,11.7,0,Marlon,20.33,04/06/2015,1,0,80538,fluminense,Zagueiro
2,5,FS=2;PE=9;FT=1;G=2;RB=2;FC=5;FF=3;FD=1,Provável,7,7.27,7,Dátolo,20.01,03/06/2015,3,1.05,69240,atlético-mg,Meia
3,5,SG=2;FS=1;PE=3;I=1;RB=3;FC=4;CA=1,Provável,7,3.4,-3.8,Gil,19.39,03/06/2015,3,-3.39,68923,corinthians,Zagueiro
4,5,FS=11;PE=9;G=1;RB=5;FD=3,Provável,7,5.57,1.5,Élber,19.12,04/06/2015,4,-0.6,74140,sport,Meia
5,5,FS=12;PE=12;G=2;I=2;RB=3;FC=5;CA=1;FF=2;FD=2,Provável,7,5.35,0.7,Yuri Mamute,19.02,03/06/2015,4,-0.61,78012,grêmio,Atacante
6,5,,Nulo,6,0,0,Aránguiz,19,04/06/2015,0,0,69325,internacional,Meia
7,5,SG=2;FS=1;PE=2;CA=1;DD=6;GS=4,Nulo,6,4.47,0.5,Martín Silva,18.51,03/06/2015,4,-0.43,69249,vasco,Goleiro
8,5,SG=2;FS=2;PE=14;RB=5;FC=3;CA=1;FF=2;FD=1,Provável,7,3.55,0.7,Rodrigo,18.44,03/06/2015,4,-0.75,37644,vasco,Zagueiro
9,5,FS=5;PE=16;G=1;I=3;RB=2;FC=6;CV=1;FF=3;FD=4,Provável,7,1.9,0,Walter,18.37,03/06/2015,3,0,62128,atlético-pr,Atacante
10,5,SG=1;FS=1;PE=5;CA=2;DD=6;GS=6,Nulo,6,1.5,-1,Marcelo Grohe,18.29,03/06/2015,4,-1.73,37770,grêmio,Goleiro
11,5,SG=2;FS=4;PE=3;G=1;RB=7;FC=8;FF=2;FD=2,Provável,7,7.6,8.5,Vitor Hugo,18.19,04/06/2015,4,2.11,72605,palmeiras,Zagueiro
12,5,FS=2;PE=7;FT=1;G=1;I=1;FC=6;CA=1;FF=6;FD=1,Provável,7,2.52,2.8,Luis Fabiano,18,03/06/2015,4,0.01,37919,são paulo,Atacante
13,5,,Dúvida,2,0,0,Cleiton Xavier,18,04/06/2015,0,0,38530,palmeiras,Meia
14,5,FS=2;PE=7;G=2;FC=3;FF=2;FD=1,Provável,7,5.27,7.6,Rafael Marques,17.85,04/06/2015,3,0.91,38957,palmeiras,Atacante
15,5,FS=3;PE=5;RB=1;FD=3,Provável,7,2.35,3.1,Arrascaeta,17.77,03/06/2015,2,-1.21,87863,cruzeiro,Meia
16,5,FS=6;PE=8;G=1;I=1;RB=5;FC=8;CA=1;FF=5;FD=3,Provável,7,4.27,2.3,Geuvânio,17.5,03/06/2015,4,-0.25,73896,santos,Atacante
17,5,SG=1;FS=2;PE=7;DD=10;GS=6,Provável,7,5.48,2.5,Oliveira,17.39,03/06/2015,4,-0.17,72731,joinville,Goleiro
